row,col,remain_beans,value
0,0,0,37.3514
0,0,1,46.3514
0,0,2,52.9124
0,1,0,42.6127
0,1,1,52.6127
0,1,2,59.9027
0,2,0,48.4585
0,2,1,56.5585
0,2,2,52.9124
0,3,0,54.9539
0,3,1,63.9539
0,3,2,59.9027
0,4,0,62.1710
0,4,1,56.5585
0,4,2,52.9124
1,0,0,42.6127
1,0,1,40.7163
1,0,2,46.6212
1,1,0,37.3514
1,1,1,46.3514
1,1,2,52.9124
1,2,0,-100.0000
1,2,1,-100.0000
1,2,2,-100.0000
1,3,0,62.1710
1,3,1,72.1710
1,3,2,66.5585
1,4,0,70.1900
1,4,1,63.9539
1,4,2,58.9027
2,0,0,48.4585
2,0,1,43.9124
2,0,2,40.9590
2,1,0,-100.0000
2,1,1,-100.0000
2,1,2,-100.0000
2,2,0,62.1710
2,2,1,72.1710
2,2,2,66.5585
2,3,0,70.1900
2,3,1,63.9539
2,3,2,58.9027
2,4,0,79.1000
2,4,1,72.1710
2,4,2,66.5585
3,0,0,54.9539
3,0,1,49.9027
3,0,2,45.8112
3,1,0,62.1710
3,1,1,56.5585
3,1,2,52.0124
3,2,0,70.1900
3,2,1,63.9539
3,2,2,58.9027
3,3,0,-100.0000
3,3,1,-100.0000
3,3,2,-100.0000
3,4,0,89.0000
3,4,1,63.9539
3,4,2,58.9027
4,0,0,62.1710
4,0,1,43.9124
4,0,2,40.2300
4,1,0,70.1900
4,1,1,49.9027
4,1,2,45.8112
4,2,0,79.1000
4,2,1,56.5585
4,2,2,52.0124
4,3,0,89.0000
4,3,1,49.9027
4,3,2,45.8112
4,4,0,100.0000
4,4,1,-100.0000
4,4,2,-100.0000
