row,col,remain_beans,value
0,0,0,-2.5268
0,0,1,-5.6482
0,0,2,-5.1295
0,1,0,-2.0068
0,1,1,-4.0864
0,1,2,16.7028
0,2,0,-5.3859
0,2,1,52.9981
0,2,2,0.0000
0,3,0,-3.2878
0,3,1,1.6021
0,3,2,0.0000
0,4,0,-6.0511
0,4,1,-4.9810
0,4,2,0.0000
1,0,0,-5.1405
1,0,1,-5.8426
1,0,2,-3.1835
1,1,0,-2.6254
1,1,1,-2.5487
1,1,2,1.6668
1,2,0,-6.0000
1,2,1,-6.0000
1,2,2,-6.0000
1,3,0,-1.5534
1,3,1,20.6375
1,3,2,0.0000
1,4,0,-2.4313
1,4,1,-1.8109
1,4,2,0.0000
2,0,0,0.0000
2,0,1,-3.8228
2,0,2,-3.4115
2,1,0,-6.0000
2,1,1,-6.0000
2,1,2,-6.0000
2,2,0,-2.7031
2,2,1,0.0000
2,2,2,-3.4000
2,3,0,53.9429
2,3,1,0.0000
2,3,2,0.0000
2,4,0,-1.0017
2,4,1,3.8660
2,4,2,0.0000
3,0,0,0.0000
3,0,1,-3.8873
3,0,2,-3.4981
3,1,0,0.0000
3,1,1,0.0000
3,1,2,-2.4408
3,2,0,0.0000
3,2,1,0.0000
3,2,2,-2.4028
3,3,0,-6.0000
3,3,1,0.0000
3,3,2,0.0000
3,4,0,91.2480
3,4,1,-10.5830
3,4,2,0.0000
4,0,0,0.0000
4,0,1,-3.1095
4,0,2,-5.8503
4,1,0,0.0000
4,1,1,0.0000
4,1,2,-5.1066
4,2,0,0.0000
4,2,1,0.0000
4,2,2,-5.9798
4,3,0,0.0000
4,3,1,0.0000
4,3,2,0.0000
4,4,0,499.0000
4,4,1,0.0000
4,4,2,0.0000
